lga_code,lga_name,year,birth_rate
20110,Alpine,2013,1.81
20260,Ararat,2013,2.27
20570,Ballarat,2013,1.99
20660,Banyule,2013,1.91
20740,Bass Coast,2013,2.29
20830,Baw Baw,2013,2.1
20910,Bayside (Vic.),2013,1.75
21010,Benalla,2013,1.98
21110,Boroondara,2013,1.41
21180,Brimbank,2013,1.95
21270,Buloke,2013,2.05
21370,Campaspe,2013,2.31
21450,Cardinia,2013,2.28
21610,Casey,2013,2.07
21670,Central Goldfields,2013,2.3
21750,Colac Otway,2013,2.43
21830,Corangamite,2013,2.47
21890,Darebin,2013,1.62
22110,East Gippsland,2013,2.39
22170,Frankston,2013,2
22250,Gannawarra,2013,2.27
22310,Glen Eira,2013,1.66
22410,Glenelg,2013,2.11
22490,Golden Plains,2013,2.27
22620,Greater Bendigo,2013,2.04
22670,Greater Dandenong,2013,2.03
22750,Greater Geelong,2013,1.93
22830,Greater Shepparton,2013,2.33
22910,Hepburn,2013,2.19
22980,Hindmarsh,2013,2.35
23110,Hobsons Bay,2013,2.02
23190,Horsham,2013,2.22
23270,Hume,2013,2.13
23350,Indigo,2013,2.2
23430,Kingston (Vic.),2013,1.8
23670,Knox,2013,1.76
23810,Latrobe (Vic.),2013,2.06
23940,Loddon,2013,2.59
24130,Macedon Ranges,2013,1.99
24210,Manningham,2013,1.53
24250,Mansfield,2013,2.22
24330,Maribyrnong,2013,1.82
24410,Maroondah,2013,1.88
24600,Melbourne,2013,0.92
24650,Melton,2013,2.13
24700,Merri-bek,2013,1.62
24780,Mildura,2013,2.3
24850,Mitchell,2013,2.28
24900,Moira,2013,2.45
24970,Monash,2013,1.53
25060,Moonee Valley,2013,1.58
25150,Moorabool,2013,2.03
25340,Mornington Peninsula,2013,2.02
25430,Mount Alexander,2013,2.04
25490,Moyne,2013,2.41
25620,Murrindindi,2013,2.03
25710,Nillumbik,2013,1.82
25810,Northern Grampians,2013,2.05
25900,Port Phillip,2013,1.16
25990,Pyrenees,2013,2.29
26080,Queenscliffe,2013,1.55
26170,South Gippsland,2013,2.28
26260,Southern Grampians,2013,2.19
26350,Stonnington,2013,1.16
26430,Strathbogie,2013,2.09
26490,Surf Coast,2013,2.01
