_id,address,latitude,longitude,name,suburb,website,approved_places,phone_number,managed_by,email,long_day_care,funded_3yo_kindergarten,funded_4yo_kindergarten,central_registration,school,active,json_geometry,geo_point_2d,centrally_registered
1,244 Moss Avenue,-37.6409251,143.8615657,Ballarat Steiner School Kindergarten,Mount Helen,http://ballaratsteinerschool.com.au/,22,5341 8188,Steiner school,welcome@ballaratsteinerschool.com.au,No,False,True,No,True,True,"{""type"": ""Point"", ""coordinates"": [143.8615657, -37.6409251]}","-37.6409251, 143.8615657",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
2,25 Gillies Street North,-37.552326,143.818897,Ballarat Specialist School Early Learning Centre,Lake Gardens,http://www.ballaratss.vic.edu.au/,28,5334 1302,Ballarat Specialist School,ballarat.ss@education.vic.gov.au,No,False,True,No,True,True,"{""type"": ""Point"", ""coordinates"": [143.818897, -37.552326]}","-37.552326, 143.818897",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
3,609-611 Creswick Road,-37.5434748,143.8496239,Goodstart Early Learning - Creswick Road,Wendouree,https://www.goodstart.org.au/,60,5339 5111,Goodstart,cwr@goodstart.org.au,Yes,False,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8496239, -37.5434748]}","-37.5434748, 143.8496239",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
4,904 Glenelg Highway,-37.5870146,143.8252839,Goodstart Early Learning - Delacombe,Delacombe,https://www.goodstart.org.au/,145,5336 1044,Goodstart,del@goodstart.org.au,Yes,False,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8252839, -37.5870146]}","-37.5870146, 143.8252839",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
5,1108 Geelong Road,-37.5970859,143.8673697,Goodstart Early Learning - Mount Clear,Mount Clear,https://www.goodstart.org.au/,105,5330 2677,Goodstart,mcl@goodstart.org.au,Yes,False,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8673697, -37.5970859]}","-37.5970859, 143.8673697",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
6,1122 Howitt Street,-37.5395953,143.832249,Goodstart Early Learning - Wendouree,Wendouree,https://www.goodstart.org.au/,60,5339 1311,Goodstart,wen@goodstart.org.au,Yes,False,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.832249, -37.5395953]}","-37.5395953, 143.832249",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
7,282 Tait Street,-37.6029427,143.8226835,Kidscape Early Learning Centre- Bonshaw,Bonshaw,https://www.kidscape.com.au/location/ballarat/,130,5336 0279,,ballarat@kidscape.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8226835, -37.6029427]}","-37.6029427, 143.8226835",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
8,6 Queen Street,-37.6073772,143.8393482,Little Wonders Early Learning,Sebastopol,https://littlewonderselc.com.au/,118,5317 9229,,ballarat@littlewonderselc.com.au,Yes,False,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8393482, -37.6073772]}","-37.6073772, 143.8393482",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
9,1091 Norman Street,-37.5333139,143.8309772,Centre for Early Education (CEEd) - Ballarat Grammar,Wendouree,https://www.bgs.vic.edu.au/learning/learning-programs/centre-for-early-education-6-months-to-5-years/,171,5338 0896,Ballarat Grammar School,ceed@ceed.vic.edu.au,Yes,True,True,No,True,True,"{""type"": ""Point"", ""coordinates"": [143.8309772, -37.5333139]}","-37.5333139, 143.8309772",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
10,528 Eureka Street,-37.5661681,143.8856605,Village Early Education Eureka,Eureka,https://villageeducation.com.au/eureka/,92,1300 017 005,Village Early Education,eureka@villageeducation.com.au,Yes,False,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8856605, -37.5661681]}","-37.5661681, 143.8856605",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
11,82 Mair Street East,-37.5611901,143.8671137,Bakery Hill Kindergarten,Bakery Hill,https://ecka.org.au/,55,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8671137, -37.5611901]}","-37.5611901, 143.8671137",Kindergartens participating in Central Kindergarten Registration Scheme
12,210 Ripon Street South,-37.5658776,143.8400283,Ballarat Fidelity Club Kindergarten,Ballarat Central,https://ecka.org.au/,48,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8400283, -37.5658776]}","-37.5658776, 143.8400283",Kindergartens participating in Central Kindergarten Registration Scheme
13,208 Learmonth Street,-37.6506096,143.8879714,Buninyong Preschool,Buninyong,https://earlylearning.unitingvictas.org.au/find-a-service/buninyong-preschool/,63,1800 183 103,Uniting,ballaratELadmin@vt.uniting.org,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8879714, -37.6506096]}","-37.6506096, 143.8879714",Kindergartens participating in Central Kindergarten Registration Scheme
14,105 Whitelaw Avenue,-37.5804519,143.8186821,Delacombe Community Kindergarten,Delacombe,https://ecka.org.au/,55,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8186821, -37.5804519]}","-37.5804519, 143.8186821",Kindergartens participating in Central Kindergarten Registration Scheme
15,College Street,-37.537574,143.8366595,Linda Brown Kindergarten,Wendouree,https://ecka.org.au/,52,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8366595, -37.537574]}","-37.537574, 143.8366595",Kindergartens participating in Central Kindergarten Registration Scheme
16,1015 Armstrong Street North,-37.5402218,143.8599223,Midlands Kindergarten,Ballarat North,https://ecka.org.au/,66,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8599223, -37.5402218]}","-37.5402218, 143.8599223",Kindergartens participating in Central Kindergarten Registration Scheme
17,2-12 Dundas Street,-37.477543,143.795437,Miners Rest Kindergarten,Miners Rest,https://www.minersrestps.vic.edu.au/kindergarten/,100,5334 6328,Miners Rest Primary School,miners.rest.ps@education.vic.gov.au,No,True,True,Yes,True,True,"{""type"": ""Point"", ""coordinates"": [143.795437, -37.477543]}","-37.477543, 143.795437",Kindergartens participating in Central Kindergarten Registration Scheme
18,348 Humffray Street North,-37.5519677,143.9023631,Perridak Burron Early Learning,Brown Hill,https://perridakburronel.net.au,40,5334 4727,BADAC,admin@perridakburronel.com.au,Yes,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.9023631, -37.5519677]}","-37.5519677, 143.9023631",Kindergartens participating in Central Kindergarten Registration Scheme
19,2 Raglan Street,-37.484402,143.803101,Mini Miners Early Learning Centre,Miners Rest,https://miniminers.com.au/,22,5335 6971,,admin@miniminers.com.au,Yes,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.803101, -37.484402]}","-37.484402, 143.803101",Kindergartens participating in Central Kindergarten Registration Scheme
20,81 Hertford Street,-37.5866475459367,143.831530253535,Brady Bunch Early Learning Centre- Hertford Park,Sebastopol,https://www.bradybunchelc.com.au/,,5320 0270,,lisa@bradybunchelc.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8315302535, -37.5866475459]}","-37.5866475459367, 143.831530253535",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
21,2 Stirling Drive,-37.544149837789,143.820775810603,Rise n Shine Early Learning Centre,Lake Gardens,https://risenshinelearning.com.au/,,0431611172,,risenshineballarat@gmail.com,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8207758106, -37.5441498378]}","-37.544149837789, 143.820775810603",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
22,427 Errard St Sth,-37.5711,143.8478,Jenny's ELC- Ballarat Central,Ballarat Central,https://www.jennyselc.com.au/childcare-centre-ballarat-central/,,43200745,,ballaratcentral@jennyselc.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8478, -37.5711]}","-37.5711, 143.8478",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
23,Corner of Beverin and Vickers Street,-37.5924111035884,143.837786614742,Sebastopol Community Hub Kindergarten (interim name) Opening January 2026,Sebastopol,https://www.ballarat.vic.gov.au/city/projects/sebastopolcommunityhub,66,5320 5720,City of Ballarat,kindergarten@ballarat.vic.gov.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8377866147, -37.5924111036]}","-37.5924111035884, 143.837786614742",Kindergartens participating in Central Kindergarten Registration Scheme
24,1007 Armstrong Street North,-37.5407424,143.8598477,Ballarat Child Care Cooperative,Ballarat North,http://ballaratccc.org.au/,44,,,,Yes,False,False,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8598477, -37.5407424]}","-37.5407424, 143.8598477",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
25,257 Victoria Street,-37.5581436,143.8862931,Ballarat Little Learners Early Education Centre,Ballarat East,http://www.ballaratlittlelearners.com.au/,29,,,info@ballaratlittlelearners.com.au,Yes,False,False,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.8862931, -37.5581436]}","-37.5581436, 143.8862931",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
26,2 Mia Street,-37.564957,143.7834759,Beginnings Early Learning,Alfredton,https://beginningsearlylearners.com.au/alfredton/,130,4313 9881,,enquiries@beginningsearlylearners.com.au,Yes,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.7834759, -37.564957]}","-37.564957, 143.7834759",Kindergartens participating in Central Kindergarten Registration Scheme
27,611 Howitt Street,-37.543182,143.853031,Jenny's ELC-Soldiers Hill,Soldiers Hill,https://www.jennyselc.com.au/childcare-centre-soldiers-hill/,114,7048 2940,Jenny's Early Learning Centres,soldiershill@jennyselc.com.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.853031, -37.543182]}","-37.543182, 143.853031",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
28,91-93 Cuthberts Road,-37.55381,143.797783,Goodstart Early Learning - Alfredton,Alfredton,https://www.goodstart.org.au/,95,5334 2929,Goodstart,ala@goodstart.org.au,Yes,False,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.797783, -37.55381]}","-37.55381, 143.797783",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
29,602 Sherrard Street,-37.5484764,143.869547,Black Hill Kindergarten,Black Hill,https://ecka.org.au/,25,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.869547, -37.5484764]}","-37.5484764, 143.869547",Kindergartens participating in Central Kindergarten Registration Scheme
30,234 Morgan Street,-37.6041018,143.8236698,Bonshaw Kindergarten,Bonshaw,https://ecka.org.au/,66,5339 5055,ECKA,info@ecka.org.au,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8236698, -37.6041018]}","-37.6041018, 143.8236698",Kindergartens participating in Central Kindergarten Registration Scheme
31,25 Harris Drive,-37.5466194,143.783392,Journey Early Learning Centre - Lucas,Lucas,https://journey.edu.au/centre/lucas/,80,4344 4109,Journey,lucas@journey.edu.au,Yes,True,True,No,False,True,"{""type"": ""Point"", ""coordinates"": [143.783392, -37.5466194]}","-37.5466194, 143.783392",Kindergartens not participating in the Central Kindergarten Registration Scheme. You will need to contact services individually and follow their registration process.
32,2 Forest Street,-37.543002,143.8311033,Enid Rogers Kindergarten,Lake Wendouree,https://earlylearning.unitingvictas.org.au/find-a-service/enid-rogers-jubilee-kindergarten/,33,1800 183 103,Uniting,ballaratELadmin@vt.uniting.org,No,True,True,Yes,False,True,"{""type"": ""Point"", ""coordinates"": [143.8311033, -37.543002]}","-37.543002, 143.8311033",Kindergartens participating in Central Kindergarten Registration Scheme
